 1.13419060e+07 1.55766000e+05 1.50009000e+05 4.85918000e+05
 3.55448000e+05],,,,,,,
0,31,9176,,,,,,,,,,,,,[1.78326372e+08 1.58909800e+06 2.11250000e+04 8.04590700e+06
 7.46284400e+06 1.71300000e+05 3.38092000e+05 3.36704000e+05
 3.16579000e+05],,,,,,,
0,32,9472,,,,,,,,,,,,,[1.75720737e+08 4.15222500e+06 6.36330000e+04 5.32548900e+06
 1.00468940e+07 3.07668000e+05 1.78292000e+05 3.56247000e+05
 4.56836000e+05],,,,,,,
0,33,9768,,,,,,,,,,,,,[1.75775017e+08 4.10927200e+06 5.23060000e+04 4.69043500e+06
 1.08048480e+07 1.84768000e+05 1.99456000e+05 4.09947000e+05
 3.81972000e+05],,,,,,,
0,34,10064,,,,,,,,,,,,,[1.76551543e+08 3.36528700e+06 1.97650000e+04 5.90063400e+06
 9.68851500e+06 9.09020000e+04 2.56613000e+05 4.52107000e+05
 2.82655000e+05],,,,,,,
0,35,10360,,,,,,,,,,,,,[1.70148172e+08 9.76923800e+06 1.91850000e+04 3.41809500e+06
 1.21991270e+07 6.28290000e+04 2.26782000e+05 5.33686000e+05
 2.30907000e+05],,,,,,,
0,36,10656,,,,,,,,,,,,,[1.72312613e+08 7.55102200e+06 7.29600000e+04 3.92180900e+06
 1.15794810e+07 1.78761000e+05 1.27328000e+05 4.67821000e+05
 3.96226000e+05],,,,,,,
0,37,10952,,,,,,,,,,,,,[1.78788066e+08 1.11590800e+06 3.26210000e+04 8.98552400e+06
 6.41018300e+06 2.84344000e+05 3.79760000e+05 1.90705000e+05
 4.20910000e+05],,,,,,,
0,38,11248,,,,,,,,,,,,,[1.70956831e+08 8.89355400e+06 8.62100000e+04 2.64224900e+06
 1.27917470e+07 2.46055000e+05 1.24866000e+05 4.29109000e+05
 4.37400000e+05],,,,,,,
0,39,11544,,,,,,,,,,,,,[1.77039287e+08 2.85439700e+06 4.29110000e+04 5.34278000e+06
 1.01275840e+07 2.09687000e+05 2.69521000e+05 2.99682000e+05
 4.22172000e+05],,,,,,,
0,40,11840,,,,,,,,,,,,,[1.74168926e+08 5.72618900e+06 4.14800000e+04 3.98709200e+06
 1.15802820e+07 1.12677000e+05 2.05029000e+05 4.49398000e+05
 3.36948000e+05],,,,,,,
0,41,12136,,,,,,,,,,,,,[1.77751016e+08 2.11796700e+06 6.76120000e+04 5.84770700e+06
 9.43569100e+06 3.96653000e+05 2.62836000e+05 2.24712000e+05
 5.03827000e+05],,,,,,,
0,42,12432,,,,,,,,,,,,,[1.74616672e+08 5.26884600e+06 5.10770000e+04 3.65211300e+06
 1.18692120e+07 1.58726000e+05 1.85095000e+05 4.11311000e+05
 3.94969000e+05],,,,,,,
0,43,12728,,,,,,,,,,,,,[1.75914956e+08 3.89984600e+06 1.21793000e+05 4.24663100e+06
 1.10648820e+07 3.68538000e+05 1.63968000e+05 2.75575000e+05
 5.51832000e+05],,,,,,,
0,44,13024,,,,,,,,,,,,,[1.77583117e+08 2.28899700e+06 6.44810000e+04 6.10219200e+06
 9.37742400e+06 2.00435000e+05 2.05297000e+05 3.43515000e+05
 4.42563000e+05],,,,,,,
0,45,13320,,,,,,,,,,,,,[1.74159662e+08 5.65952400e+06 1.17409000e+05 3.30681400e+06
 1.20111000e+07 3.62137000e+05 1.90687000e+05 2.44933000e+05
 5.55755000e+05],,,,,,,
0,46,13616,,,,,,,,,,,,,[1.75436251e+08 4.38475600e+06 1.15588000e+05 6.23200600e+06
 9.07421700e+06 3.73828000e+05 1.89271000e+05 2.53608000e+05
 5.48496000e+05],,,,,,,
0,47,13912,,,,,,,,,,,,,[1.76828529e+08 3.05503000e+06 5.30360000e+04 5.25951600e+06
 1.02138430e+07 2.06692000e+05 2.37462000e+05 3.13559000e+05
 4.40354000e+05],,,,,,,
0,48,14208,,,,,,,,,,,,,[1.75153221e+08 4.68360000e+06 9.97740000e+04 4.18023800e+06
 1.12041100e+07 2.95703000e+05 1.95374000e+05 3.12748000e+05
 4.83253000e+05],,,,,,,
0,49,14504,,,,,,,,,,,,,[1.72325649e+08 7.53958800e+06 7.13580000e+04 3.18967200e+06
 1.22993470e+07 1.91032000e+05 1.12151000e+05 4.35803000e+05
 4.43421000e+05],,,,,,,
0,50,14800,,,,,,,,,,,,,[1.7721338e+08 2.6405030e+06 8.2712000e+04 5.3301200e+06 1.0095847e+07
 2.5408400e+05 2.1771600e+05 2.8065800e+05 4.9300100e+05],,,,,,,
0,51,15096,,,,,,,,,,,,,[1.76461173e+08 3.41683900e+06 5.85830000e+04 4.36506100e+06
 1.10976710e+07 2.17319000e+05 2.24279000e+05 3.17320000e+05
 4.49776000e+05],,,,,,,
0,52,15392,,,,,,,,,,,,,[1.74781209e+08 5.09629800e+06 5.90880000e+04 3.49907800e+06
 1.19750410e+07 2.05932000e+05 2.06208000e+05 3.58686000e+05
 4.26481000e+05],,,,,,,
0,53,15688,,,,,,,,,,,,,[1.77636838e+08 2.25330300e+06 4.64540000e+04 4.88049400e+06
 1.05373250e+07 2.62232000e+05 2.61057000e+05 2.56433000e+05
 4.73885000e+05],,,,,,,
