fold,epoch,iteration,elapsed_time,train/loss,train/acc,train/acc_cls,train/mean_iu,train/fwavacc,train_total/loss,train_total/acc,train_total/acc_cls,train_total/mean_iu,train_total/fwavacc,train_total/iu_cls,train_total/confusion_matrix,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/iu_cls,valid/confusion_matrix,valid/fwavacc
0,78,23088,,,,,,,,,,,,[ 0.96462362  0.65727013  0.42338138         nan],,,,,,[ 0.93459319  0.36582691  0.26433028         nan],,
0,79,23384,,,,,,,,,,,,[ 0.96588845  0.6632407   0.40879042         nan],,,,,,[ 0.93488577  0.37930935  0.25557607         nan],,
0,80,23680,,,,,,,,,,,,[ 0.96509963  0.65777437  0.41428499         nan],,,,,,[ 0.9347635   0.36198049  0.26627648         nan],,
0,81,23976,,,,,,,,,,,,[ 0.96751862  0.66662635  0.40925162         nan],,,,,,[ 0.93722768  0.34233408  0.26799769         nan],,
0,82,24272,,,,,,,,,,,,[ 0.96800854  0.66669172  0.42731026         nan],,,,,,[ 0.94197482  0.37170626  0.27794268         nan],,
0,83,24568,,,,,,,,,,,,[ 0.96761015  0.67103113  0.43026146         nan],,,,,,[ 0.93805035  0.37683722  0.27236935         nan],,
0,84,24864,,,,,,,,,,,,[ 0.96507447  0.66294103  0.43910787         nan],,,,,,[ 0.93272966  0.36664483  0.27472554         nan],,
0,85,25160,,,,,,,,,,,,[ 0.96778031  0.67484969  0.41322664         nan],,,,,,[ 0.93960073  0.38412776  0.25386344         nan],,
0,86,25456,,,,,,,,,,,,[ 0.96394462  0.65909519  0.44157823         nan],,,,,,[ 0.93383838  0.37961671  0.26420631         nan],,
0,87,25752,,,,,,,,,,,,[ 0.9677499   0.6738132   0.44394558         nan],,,,,,[ 0.93890722  0.37760029  0.27382363         nan],,
0,88,26048,,,,,,,,,,,,[ 0.96711599  0.67669372  0.43891904         nan],,,,,,[ 0.93459394  0.36962006  0.26610251         nan],,
0,89,26344,,,,,,,,,,,,[ 0.96652102  0.67130181  0.43872484         nan],,,,,,[ 0.93482618  0.37727771  0.26787226         nan],,
0,90,26640,,,,,,,,,,,,[ 0.96797016  0.67346856  0.44902251         nan],,,,,,[ 0.94081831  0.38947909  0.28313944         nan],,
0,91,26936,,,,,,,,,,,,[ 0.95754429  0.63505124  0.45094079         nan],,,,,,[ 0.92161351  0.36418866  0.2835407          nan],,
0,92,27232,,,,,,,,,,,,[ 0.96758525  0.64872727  0.43138378         nan],,,,,,[ 0.94181741  0.35689827  0.28822099         nan],,
0,93,27528,,,,,,,,,,,,[ 0.96461225  0.65772939  0.44126377         nan],,,,,,[ 0.93631163  0.37950873  0.27337508         nan],,
0,94,27824,,,,,,,,,,,,[ 0.96806223  0.67745321  0.45329897         nan],,,,,,[ 0.93841444  0.37877504  0.28228762         nan],,
0,95,28120,,,,,,,,,,,,[ 0.96722793  0.67837926  0.43999483         nan],,,,,,[ 0.93676006  0.37874556  0.26753554         nan],,
0,96,28416,,,,,,,,,,,,[ 0.96616233  0.6717267   0.4485444          nan],,,,,,[ 0.9337662   0.3748219   0.28343519         nan],,
0,97,28712,,,,,,,,,,,,[ 0.96797489  0.68092581  0.45059626         nan],,,,,,[ 0.93649799  0.38201029  0.28080242         nan],,
0,98,29008,,,,,,,,,,,,[ 0.96771484  0.67828372  0.45464174         nan],,,,,,[ 0.93777897  0.38308491  0.27890303         nan],,
0,99,29304,,,,,,,,,,,,[ 0.96977771  0.68283649  0.45705896         nan],,,,,,[ 0.9412462   0.38084991  0.28087165         nan],,
0,100,29600,,,,,,,,,,,,[ 0.96569469  0.67314077  0.44362237         nan],,,,,,[ 0.93284067  0.37992114  0.26821969         nan],,
0,0,0,,,,,,,,,,,,[ 0.94234373  0.          0.        ],,,,,,[ 0.94951646  0.          0.        ],,
0,1,296,,,,,,,,,,,,[ 0.94477654  0.05947247  0.        ],,,,,,[ 0.95116129  0.07867943  0.        ],,
0,2,592,,,,,,,,,,,,[ 0.94246591  0.00240698  0.        ],,,,,,[ 0.94984164  0.00674079  0.        ],,
0,3,888,,,,,,,,,,,,[ 0.94844307  0.13083344  0.        ],,,,,,[ 0.95094469  0.11179574  0.        ],,
0,4,1184,,,,,,,,,,,,[ 0.92374293  0.31933449  0.        ],,,,,,[ 0.92165665  0.29319552  0.        ],,
0,5,1480,,,,,,,,,,,,[ 0.95029991  0.29376866  0.        ],,,,,,[ 0.95357617  0.27289104  0.        ],,
0,6,1776,,,,,,,,,,,,[ 0.95180168  0.34341241  0.        ],,,,,,[ 0.95635426  0.32001455  0.        ],,
0,7,2072,,,,,,,,,,,,[ 0.94932399  0.37549584  0.        ],,,,,,[ 0.94494644  0.31357196  0.        ],,
0,8,2368,,,,,,,,,,,,[ 0.95688441  0.40682251  0.        ],,,,,,[ 0.95403725  0.34719029  0.        ],,
0,9,2664,,,,,,,,,,,,[ 0.94829921  0.10405699  0.        ],,,,,,[ 0.95315326  0.07368534  0.        ],,
0,10,2960,,,,,,,,,,,,[ 0.95282668  0.20312529  0.00662291],,,,,,[ 0.95617436  0.18054698  0.        ],,
0,11,3256,,,,,,,,,,,,[ 0.95634426  0.28332013  0.        ],,,,,,[ 0.95675065  0.24663357  0.        ],,
0,12,3552,,,,,,,,,,,,[ 0.95835236  0.32885695  0.        ],,,,,,[ 0.95686696  0.25887064  0.        ],,
0,13,3848,,,,,,,,,,,,[ 0.9570986   0.43172357  0.        ],,,,,,[ 0.95197677  0.32408508  0.        ],,
0,14,4144,,,,,,,,,,,,[ 0.95230185  0.44889798  0.        ],,,,,,[ 0.94265907  0.33379285  0.        ],,
0,15,4440,,,,,,,,,,,,[ 0.95243655  0.44850785  0.        ],,,,,,[ 0.93662687  0.3169916   0.        ],,
